id,anio,autor_principal,relacion,doi,titulo_oficial,autores,n_autores,revista,issn,editorial,tipo_publicacion,volumen,numero,paginas,fecha_publicacion,citas_crossref,citas_openalex,n_referencias,acceso_abierto,licencia,paises_openalex,instituciones_openalex,conceptos_openalex,financiacion,openalex_id,fuente_metadatos
012,2026,Xiong,C,10.70917/ijcisim-2026-2164,Al-Based Feedback Systems and Student Learning Outcomes in Higher Education: A systematic review (2020-2025),Zhichao Xiong | Mohamad Nizam Nazarudin | Yan Tian,3,International Journal of Computer Information Systems and Industrial Management Applications,"2150-7988,2150-7988","Cerebration Science Publishing Co., Limited",journal-article,18,,15,2026-6-29,0,0,0,True,https://creativecommons.org/licenses/by/4.0,MY,National University of Malaysia,Grading (engineering)(0.66); Formative assessment(0.55); Learning analytics(0.51); Computer science(0.50); Psychology(0.44); Mathematics education(0.37),,W7166827278,crossref+openalex
013,2025,Mukhtar,D,10.11591/edulearn.v19i4.23239,Educational leadership innovation: a recent comprehensive structured review,Suhaibah Mukhtar | Ahmad Zabidi A. Razak | Ninik Setiyowati | Mohd Azizul Adni,4,Journal of Education and Learning (EduLearn),"2302-9277,2089-9823",Institute of Advanced Engineering and Science,journal-article,19,4,2342-2350,2025-11-1,2,2,0,True,http://creativecommons.org/licenses/by/4.0,"ID,MY",University of Malaya; State University of Malang,Scopus(0.62); Knowledge management(0.52); Educational leadership(0.52); Adaptability(0.52); Systematic review(0.50); Leadership studies(0.48),,W4412961032,crossref+openalex
014,2024,Sularso,B,,,,,,,,,,,,,,,,,,,,,,,sin_doi
015,2025,Arets,C,,,,,,,,,,,,,,,,,,,,,,,sin_doi
016,2026,AddinulJihad,D,,,,,,,,,,,,,,,,,,,,,,,sin_doi
017,2026,Musdira,C,10.66053/voice.v4i2.472,Learning Agility Measurement Models in Technology-Driven Learning Environments: A Systematic Literature Review,Nurhayi Musdira | Mukhlisin | Minah Sintian,3,"Journal of Vocational, Informatics and Computer Education","2988-6325,2988-4918",PT. Academic Bright Collaboration,journal-article,,,30-42,2026-6-1,0,0,0,True,https://creativecommons.org/licenses/by-sa/4.0,"ID,MY",State University of Makassar; Sultan Idris Education University,Systematic review(0.76); Scopus(0.68); Confirmatory factor analysis(0.61); Psychology(0.53); Process (computing)(0.52); Structural equation modeling(0.51),,W7164004461,crossref+openalex
018,2025,He,B,10.47405/mjssh.v10i6.3437,"Harmonizing Tradition, Algorithm, and Innovation: A Bibliometric Study on AI in Traditional Music",Wei Jie He | I Ta Wang | KuWing Cheong,3,Malaysian Journal of Social Sciences and Humanities (MJSSH),2504-8562,Secholian Publication,journal-article,10,6,e003437,2025-6-24,1,1,0,True,,,,Computer science(0.40); Artificial intelligence(0.34),,W4412847194,crossref+openalex
019,2025,Sahlan,D,10.33086/ehdj.v10i3.8390,,,,,,,,,,,,,,,,,,,,,,crossref+openalex
020,2026,MohdNong,C,10.37934/araset.60.1.4159,,,,,,,,,,,,,,,,,,,,,,crossref+openalex
021,2025,Du,B,10.21831/cp.v44i3.84011,Breaking the sound barrier: Spectrum–based pedagogies in modern vocal music education,Enbo Du | Mariam Oluwatoyin Idris,2,Jurnal Cakrawala Pendidikan,"2442-8620,0216-1370",Universitas Negeri Yogyakarta,journal-article,44,3,523-538,2025-10-6,0,0,0,True,http://creativecommons.org/licenses/by-sa/4.0,"CN,MY",Ankang University; Sultan Idris Education University,Singing(0.73); Vocal music(0.64); Transformative learning(0.47); Curriculum(0.46); Voice Training(0.42); Psychology(0.42),,W4414860215,crossref+openalex
022,2024,Lin,B,10.37934/frle.37.1.4158,A Systematic Review of Metaverse-Based Learning in Music Education,Fei Lin | Melor Md Yunus,2,International Journal of Advanced Research in Future Ready Learning and Education,2821-2800,Akademia Baru Publishing,journal-article,37,1,41-58,2024-12-17,4,4,0,True,,"CN,MY",Anhui Xinhua University; Guangzhou Xinhua University; National University of Malaysia,Metaverse(0.50); Psychology(0.36); Computer science(0.34); Artificial intelligence(0.17); Virtual reality(0.00),,W4405481685,crossref+openalex
023,2026,Dimitriadou,C,,,,,,,,,,,,,,,,,,,,,,,sin_doi
024,2025,Suripah,D,,,,,,,,,,,,,,,,,,,,,,,sin_doi
025,2026,Deroncele-Acosta,C,10.62161/revvisual.v18.6245,Educación en museos en la era digital,Angel Deroncele-Acosta | Andresa Sartor-Harada | Yanet Martín-Mazorra | Juliana Azevedo-Gomes,4,VISUAL REVIEW. International Visual Culture Review / Revista Internacional de Cultura Visual,2695-9631,Visualcom Scientific Publications SL,journal-article,18,4,57-84,2026-8-3,0,0,75,True,https://creativecommons.org/licenses/by-nd/4.0,"ES,PE",Universidad San Ignacio de Loyola; Universidad Internacional De La Rioja,Humanities(0.47); Art(0.36); Work (physics)(0.25); Political science(0.24); Digital media(0.20); Task (project management)(0.20),,W7172263982,crossref+openalex
026,2021,AbdulWahab,C,10.47405/mjssh.v6i3.706,The Big Why of Implementing Computational Thinking In STEM Education: A Systematic Literature Review,Norhafizan Abdul Wahab | Othman Talib | Fazilah Razali | Nurzatulshima Kamarudin,4,Malaysian Journal of Social Sciences and Humanities (MJSSH),2504-8562,Secholian Publication,journal-article,6,3,272-289,2021-3-8,6,17,0,True,,MY,Universiti Putra Malaysia,Systematic review(0.70); Scopus(0.66); Web of science(0.49); Engineering ethics(0.48); Discipline(0.46); Medical education(0.39),,W3133856659,crossref+openalex
027,2025,Imanulyaqin,D,,TRENDS AND KNOWLEDGE STRUCTURE IN GLOBAL STUDIES OF EDUCATION AND SOCIAL TRANSFORMATION: A BIBLIOMETRIC ANALYSIS (2000–2024),,,JURNAL EDUSCIENCE,,,,,,,,,0,0,True,,ID,Tanjungpura University,Transformative learning(0.68); CLARITY(0.52); Sociology(0.47); Originality(0.44); Higher education(0.44); Scopus(0.43),,W4417099736,openalex(title)
028,2024,Feng,D,10.1080/23311983.2024.2426363,A bibliometric analysis of review on folk art,"Feng Lijuan (Faculty of Design and Architecture, University Putra Malaysia, Malaysia) | Ahmad Rizal Abdul Rahman (Faculty of Design and Architecture, University Putra Malaysia, Malaysia)",2,Cogent Arts &amp; Humanities,2331-1983,Informa UK Limited,journal-article,11,1,,2024-12-15,0,0,65,True,http://creativecommons.org/licenses/by/4.0/,MY,Universiti Putra Malaysia,History(0.34),,W4405456226,crossref+openalex
029,2026,Iqbal,C,10.1007/s11831-026-10584-w,A Comprehensive Review of Audio Segmentation and Classification: from Rule-Based Methods to YOHO and Deep Learning Approaches,Abid Iqbal | Irfan Ahmed,2,Archives of Computational Methods in Engineering,"1134-3060,1886-1784",Springer Science and Business Media LLC,journal-article,,,,2026-4-14,0,0,75,False,https://www.springernature.com/gp/researchers/text-and-data-mining,"PK,SA",King Faisal University; University of Engineering and Technology Peshawar,Deep learning(0.81); Artificial intelligence(0.75); Computer science(0.74); Segmentation(0.65); Machine learning(0.32); Pattern recognition (psychology)(0.31),,W7154079446,crossref+openalex
030,2026,Meyer,D,10.1007/s10032-026-00602-9,A document is worth a structured record: Principled inductive bias design for document recognition,Benjamin Meyer | Lukas Tuggener | Sascha Hänzi | Daniel Schmid | Erdal Ayfer | Benjamin F. Grewe | Ahmed Abdulkadir | Thilo Stadelmann,8,International Journal on Document Analysis and Recognition (IJDAR),"1433-2833,1433-2825",Springer Science and Business Media LLC,journal-article,,,,2026-7-23,0,0,94,True,https://creativecommons.org/licenses/by/4.0,"CH,IT",SIB Swiss Institute of Bioinformatics; University of Zurich; ETH Zurich; ZHAW Zurich University of Applied Sciences; European Centre for Living Technology,Computer science(0.74); Rendering (computer graphics)(0.51); Transformer(0.50); Artificial intelligence(0.44); Inductive bias(0.42); Information retrieval(0.38),Innosuisse - Schweizerische Agentur für Innovationsförderung; ZHAW School of Engineering,W4414257631,crossref+openalex
031,2026,Tsai,C,10.1007/s11042-026-21404-5,A lightweight real-time karaoke system with improved singing voice separation via fundamental frequency estimation integration,Tsung-Han Tsai | Ling-Wei Wu,2,Multimedia Tools and Applications,1573-7721,Springer Science and Business Media LLC,journal-article,85,3,,2026-3-3,0,0,35,False,https://www.springernature.com/gp/researchers/text-and-data-mining,TW,National Central University,Computer science(0.87); Singing(0.70); Separation (statistics)(0.56); Source separation(0.54); Limiting(0.53); Artificial neural network(0.50),,W7133303564,crossref+openalex
032,2026,Li,A,10.7717/peerj-cs.3464,A reinforcement learning-based adaptive evaluation framework for personalized music education,Jing Li,1,PeerJ Computer Science,2376-5992,PeerJ,journal-article,12,,e3464,2026-2-3,1,1,31,True,https://creativecommons.org/licenses/by/4.0/,,,Reinforcement learning(0.79); Computer science(0.76); Personalized learning(0.63); Adaptability(0.56); Grading (engineering)(0.52); Scalability(0.52),,W7127375141,crossref+openalex
033,2026,Liang,C,10.1038/s41598-026-43529-1,A spiking neural network inspired by neuroscience and psychology for Western mode- and key-conditioned music learning and composition,Qian Liang | Yi Zeng | Menghaoran Tang,3,Scientific Reports,2045-2322,Springer Science and Business Media LLC,journal-article,16,1,,2026-3-10,0,0,61,True,https://creativecommons.org/licenses/by-nc-nd/4.0,"CN,JP",Institute of Automation; Zen-Noh (Japan); Shandong Institute of Automation; Beijing Academy of Artificial Intelligence; Chinese Academy of Governance; University of Chinese Academy of Sciences,Melody(0.74); Computer science(0.61); Perception(0.55); Spiking neural network(0.55); Music psychology(0.51); Structuring(0.49),Strategic Priority Research Program of the Chinese Academy of Sciences.; National Natural Science Foundation of China,W7134954717,crossref+openalex
035,2026,Yang,B,10.70917/ijcisim-2026-1821,A study on the comprehensive development of vocal education under the dual role of voice training and mental quality cultivation,Shifang Yang,1,International Journal of Computer Information Systems and Industrial Management Applications,"2150-7988,2150-7988","Cerebration Science Publishing Co., Limited",journal-article,18,,19,2026-5-9,0,0,0,True,https://creativecommons.org/licenses/by/4.0,CN,Chongqing Vocational and Technical University of Mechatronics; Chongqing Vocational Institute of Engineering,Quality (philosophy)(0.56); Psychology(0.45); Perception(0.44); Computer science(0.43); Cognition(0.43); Dual (grammatical number)(0.42),,W7161290298,crossref+openalex
036,2026,Zhou,B,10.1007/s44163-026-01289-x,A transformer-based intelligent online virtual conductor assistance system for choirs,Wenwen Zhou,1,Discover Artificial Intelligence,2731-0809,Springer Science and Business Media LLC,journal-article,6,1,,2026-4-28,0,0,28,True,https://creativecommons.org/licenses/by-nc-nd/4.0,KR,Kyungnam University,Computer science(0.57); Conductor(0.56); Choir(0.54); Gesture(0.53); Motion (physics)(0.51); Artificial intelligence(0.49),,W7157110931,crossref+openalex
037,2026,Cherdchoo,A,10.24507/icicelb.17.09.881,,,,,,,,,,,,,,,,,,,,,,crossref+openalex
038,2026,Deng,A,10.5216/mh.v26.85176,AI-Based Feedback Systems in Piano Education: Effects on Technical Accuracy and Learner Autonomy,Xiaodong Deng,1,Música Hodie,"1676-3939,2317-6776",Universidade Federal de Goias,journal-article,26,,,2026-7-1,0,0,0,True,,CN,Shenyang Conservatory of Music,Piano(0.93); Autonomy(0.77); Quality (philosophy)(0.62); Psychology(0.59); Sample (material)(0.58); Control (management)(0.49),,W7201839588,crossref+openalex
040,2025,Lu,B,10.1504/IJICT.2025.10071414,AI-powered intelligent music education systems for real-time feedback and performance assessment,Lu Lu,1,International Journal of Information and Communication Technology,"1466-6642,1741-8070",Inderscience Publishers,journal-article,1,1,,2025,0,0,0,True,,,,Computer science(0.91); Human–computer interaction(0.40); Multimedia(0.40); Artificial intelligence(0.33); Real-time computing(0.32),,W4410626606,crossref+openalex
041,2026,Shehzad,C,10.4018/979-8-3373-4222-1.ch005,A Systematic Review of AI's Effect on Students' Mental Health and Well-Being,"Naureen Shehzad (Higher Colleges of Technology, UAE) | Saima Nomaan (University of Birmingham, Dubai, UAE) | Tendai Charles (The British University in Dubai, UAE)",3,Advances in Computational Intelligence and Robotics,"2327-0411,2327-042X",IGI Global Scientific Publishing,book-chapter,,,105-138,2026-3-26,1,1,53,False,,"AE,GB",Higher Colleges of Technology; University of Dubai; University of Birmingham; British University in Dubai,Psychological intervention(0.69); Mental health(0.67); Psychology(0.53); Systematic review(0.49); Applied psychology(0.47); Empirical research(0.42),,W7140782830,crossref+openalex
042,2023,PalominoFlores,C,10.26668/businessreview/2023.v8i10.3789,Academic Engagement: A Bibliometric Analysis in Scientific Production,Javier Valentino Palomino Flores | Giuliana del Pilar Saravia Ramos | Irma Milagros Carhuancho Mendoza | Lady Barbara Layme Calatayud | Ruth Inés Palomino Flores,5,International Journal of Professional Business Review,"2525-3654,2525-3654",Conselho Nacional de Pesquisa e Pos-Graduacao em Direito - CONPEDI,journal-article,8,10,e03789,2023-10-10,0,0,0,True,https://creativecommons.org/licenses/by-nd/4.0,,,Originality(0.67); Multidisciplinary approach(0.59); Comprehension(0.49); Field (mathematics)(0.47); Exploratory research(0.45); Student engagement(0.44),,W4387518158,crossref+openalex
043,2025,Yao,B,10.70917/ijcisim-2025-0268,An Innovative Study on the Interaction Mode of Artificial Intelligence-Enabled Music Classroom,Wei Yao,1,International Journal of Computer Information Systems and Industrial Management Applications,"2150-7988,2150-7988","Cerebration Science Publishing Co., Limited",journal-article,17,,16,2025-12-31,1,1,0,True,https://creativecommons.org/licenses/by/4.0/,CN,Taizhou University,Computer science(0.61); Active listening(0.59); Pop music automation(0.52); Harmony (color)(0.51); Generative grammar(0.50); Music education(0.45),,W7128477006,crossref+openalex
044,2026,Deng,A,10.1038/s41598-026-53749-0,An adaptive emotion aware music education system using machine learning for personalized emotional wellbeing enhancement,Xinyun Deng | Yongxin Zhou | Xingzhi Guan | Yuhui Wang,4,Scientific Reports,2045-2322,Springer Science and Business Media LLC,journal-article,16,1,,2026-6-6,0,0,33,True,https://creativecommons.org/licenses/by-nc-nd/4.0,"CN,MY,US",Central South University; University of Michigan; UCSI University,Emotion recognition(0.58); Computer science(0.58); Artificial intelligence(0.47); Machine learning(0.43); Psychology(0.36); Adaptation (eye)(0.32),,W7163761341,crossref+openalex
046,2026,Shi,A,10.1007/s44163-026-01858-0,An affective computing framework for preschool music education using MoE architecture and neural radiance fields,Xinxin Shi,1,Discover Artificial Intelligence,2731-0809,Springer Science and Business Media LLC,journal-article,6,1,,2026-8-16,0,0,36,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Jiaozuo University,Computer science(0.64); Scalability(0.58); Software deployment(0.57); Field (mathematics)(0.55); Key (lock)(0.49); Multimedia(0.48),,W7203578012,crossref+openalex
048,2026,Hu,B,10.1504/IJICT.2026.10075844,Analysis of an intelligent piano music transcription model by deep reinforcement learning,Yan Hu | Jing Wang,2,International Journal of Information and Communication Technology,"1466-6642,1741-8070",Inderscience Publishers,journal-article,27,3,,2026,0,0,0,True,,,,Computer science(0.80); Reinforcement learning(0.79); Piano(0.68); Information and Communications Technology(0.51); Transcription (linguistics)(0.50); Artificial intelligence(0.43),,W7125236069,crossref+openalex
049,2026,Yang,B,10.70917/ijcisim-2026-1789,Application and Effect Evaluation of Blended Teaching Model of Higher Vocational Music Education in the Context of AI Era,Shifang Yang,1,International Journal of Computer Information Systems and Industrial Management Applications,"2150-7988,2150-7988","Cerebration Science Publishing Co., Limited",journal-article,18,,15,2026-4-28,0,0,0,True,https://creativecommons.org/licenses/by/4.0,,,Vocational education(0.59); Context (archaeology)(0.55); Computer science(0.51); Set (abstract data type)(0.49); Music education(0.48); Mathematics education(0.44),,W7159604059,crossref+openalex
050,2026,Lu,A,10.22630/MGV.2026.35.1.4,Application of computer vision technology in the recognition of Guzheng playing posture,Dan Lu,1,Machine Graphics &amp; Vision,"2720-250X,1230-0535",Warsaw University of Life Sciences - SGGW Press,journal-article,35,1,71-92,2026-3-31,0,0,25,True,,CN,Northeast Agricultural University,Computer science(0.73); Convolutional neural network(0.59); Artificial intelligence(0.56); Gesture(0.53); Action (physics)(0.51); Feature (linguistics)(0.50),,W7154592386,crossref+openalex
051,2026,Behzadaval,B,10.3390/educsci16020309,Application of Visual Information in Music Education Digital Technologies: A Scoping Review,"Bahareh Behzadaval (Department of Education and Social Work, Faculty of Humanities, Education and Social Sciences (FHSE), University of Luxembourg, Belval, 4366 Esch-sur-Alzette, Luxembourg) | Laura Serra Marin (Department of Education and Social Work, Faculty of Humanities, Education and Social Sciences (FHSE), University of Luxembourg, Belval, 4366 Esch-sur-Alzette, Luxembourg) | Luc Nijs (Department of Education and Social Work, Faculty of Humanities, Education and Social Sciences (FHSE), University of Luxembourg, Belval, 4366 Esch-sur-Alzette, Luxembourg)",3,Education Sciences,2227-7102,MDPI AG,journal-article,16,2,309,2026-2-13,2,2,132,True,https://creativecommons.org/licenses/by/4.0/,LU,University of Luxembourg,Modalities(0.58); Computer science(0.55); Multimodality(0.53); Embodied cognition(0.42); Notation(0.41); Affordance(0.40),,W7128807849,crossref+openalex
052,2026,Dai,B,10.1007/s13198-026-03257-1,Application of wearable perception and soft computing algorithms in personalized recommendation of music online teaching,Dai Yufei,1,International Journal of System Assurance Engineering and Management,"0975-6809,0976-4348",Springer Science and Business Media LLC,journal-article,17,7,2031-2040,2026-3-18,0,0,18,False,https://www.springernature.com/gp/researchers/text-and-data-mining,CN,Xinzhou Teachers University,Personalization(0.79); Wearable computer(0.79); Computer science(0.75); Multimedia(0.56); Soft computing(0.52); Field (mathematics)(0.52),,W7138959971,crossref+openalex
053,2022,Olaleye,D,10.21125/iceri.2022,ICERI2022 Proceedings,,0,ICERI Proceedings,2340-1095,IATED,proceedings,1,,,2022-11-7,2,5,0,True,,,,Computer science(0.61),,W4310051841,crossref+openalex
054,2025,Wang,B,10.70917/ijcisim-2025-0311,Artificial Intelligence-Driven Innovative Research and Educational Practice of Chinese Minority Music Inheritance Model,Ying Wang,1,International Journal of Computer Information Systems and Industrial Management Applications,"2150-7988,2150-7988","Cerebration Science Publishing Co., Limited",journal-article,17,,22,2025-12-30,0,0,0,True,https://creativecommons.org/licenses/by/4.0/,CN,Xinjiang Normal University,Inheritance (genetic algorithm)(0.75); Melody(0.67); Computer science(0.54); Artificial intelligence(0.54); Hidden Markov model(0.45); Field (mathematics)(0.43),,W7128491194,crossref+openalex
055,2026,AtayKarlidag,B,10.3390/app16115383,Artificial Intelligence-Supported Solfège Instruction in Higher Music Education: Effects on Student Performance and Learning Attitudes,"Bilge Atay Karlıdağ (Voice Education Department, Turkish Music Conservatory, Gaziantep University, 27310 Gaziantep, Turkey) | Tülün Malkoç (Department of Fine Art Education, Ataturk Education Faculty, Marmara University, 34722 Istanbul, Turkey) | Seval Eminoğlu Küçüktepe (Department of Educational Sciences, Ataturk Education Faculty, Marmara University, 34722 Istanbul, Turkey)",3,Applied Sciences,2076-3417,MDPI AG,journal-article,16,11,5383,2026-5-28,0,0,56,True,https://creativecommons.org/licenses/by/4.0/,TR,Gaziantep University; Marmara University,Psychology(0.64); Test (biology)(0.50); Action (physics)(0.42); Action research(0.39); Scale (ratio)(0.36); Mathematics education(0.36),,W7162640778,crossref+openalex
056,2026,Rui,A,10.55670/fpll.futech.5.1.27,Artificial intelligence and digital technologies for piano sight-reading skill development: a scoping review,Ruiqing Rui | Muhammad Syawal Amran | Nurfaradilla Mohamad Nasri,3,Future Technology,2832-0379,Future Publishing LLC,journal-article,5,1,314-323,2026-2-15,0,0,0,True,,MY,National University of Malaysia,Sophistication(0.75); Computer science(0.59); Piano(0.52); Multimedia(0.46); Human–computer interaction(0.45); Mobile device(0.43),,W7125590178,crossref+openalex
057,2026,Mazlan,B,10.1007/s44217-026-01127-3,Artificial intelligence applications and pedagogical challenges in music education,Chamil Arkhasa Nikko Mazlan | Hafizul Fahri Hanafi | Muhammad Ridhwan Sarifin | Ahmad Rithaudin Md Noor | Saule Altynbayevna Sadykova | Riyan Hidayatullah | Surasak Jamnongsarn,7,Discover Education,2731-5525,Springer Science and Business Media LLC,journal-article,5,1,,2026-1-29,6,6,146,True,https://creativecommons.org/licenses/by-nc-nd/4.0,"ID,KZ,MY,TH","Sultan Idris Education University; National Academy of Arts, Culture and Heritage; Universiti Teknologi MARA System; Aktobe Regional State University named after K.Zhubanov; Lampung University; Srinakharinwirot University",Creativity(0.62); Computer science(0.56); Music and artificial intelligence(0.51); Taxonomy (biology)(0.50); Generative grammar(0.43); Artificial intelligence(0.41),,W7126118076,crossref+openalex
059,2026,Liu,B,10.1038/s41598-026-45027-w,Artificial intelligence technology for music teaching reform mode under DCNN algorithm,Chang Liu | Ningning Shi | Shen Jiang,3,Scientific Reports,2045-2322,Springer Science and Business Media LLC,journal-article,16,1,,2026-3-19,0,0,37,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Heilongjiang University,Computer science(0.80); Inference(0.65); Spectrogram(0.56); Convolutional neural network(0.56); Mode (computer interface)(0.48); Artificial intelligence(0.48),,W7139132737,crossref+openalex
061,2026,Dong,C,,Augmenting Human Creativity with Machine Learning,,,Proceedings of the AAAI Conference on Artificial Intelligence,,,,,,,,,0,0,True,,US,University of Michigan,Generative grammar(0.75); Computer science(0.67); Creativity(0.60); Artificial intelligence(0.57); Generative model(0.53); Computational creativity(0.44),,W7138982031,openalex(title)
062,2025,Wu,D,,,,,,,,,,,,,,,,,,,,,,,sin_doi
063,2025,Kelmendi,C,10.5216/mh.v25.82418,Children’s Choral Songs as a Socio-Cultural Tool in Shaping Collective Consciousness,Arsim Kelmendi | Mimoza Pajaziti-Drançolli,2,Música Hodie,"1676-3939,2317-6776",Universidade Federal de Goias,journal-article,25,,,2025-7-11,2,2,0,True,,,"University ""Haxhi Zeka""",Choir(0.94); Singing(0.81); Context (archaeology)(0.57); Psychology(0.51); Relevance (law)(0.48); Perception(0.42),,W7109974208,crossref+openalex
065,2026,Zhang,A,10.1007/s44163-026-00923-y,Comprehensive evaluation of folk music teaching effects based on multimodal machine learning,Aijuan Zhang,1,Discover Artificial Intelligence,2731-0809,Springer Science and Business Media LLC,journal-article,6,1,,2026-2-24,0,0,26,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Henan University of Technology; Zhengzhou Business University,Gesture(0.68); Computer science(0.65); Speech recognition(0.50); Artificial intelligence(0.47); Feature (linguistics)(0.46); Convolutional neural network(0.46),,W7131220386,crossref+openalex
