keyword,n,%
musical performance quality,1,0.5
piano practice analysis,1,0.5
performance assessment,1,0.5
intelligent systems,1,0.5
transformer-xl,1,0.5
flemish interaction,1,0.5
music classroom,1,0.5
emotion-aware music education,1,0.5
adaptive learning systems,1,0.5
affective computing,1,0.5
emotional wellbeing,1,0.5
moe architecture,1,0.5
neural radiance fields,1,0.5
preschool music education,1,0.5
dynamic scene reconstruction,1,0.5
piano transcription,1,0.5
multidimensional action space,1,0.5
music sequence modelling,1,0.5
proximal policy optimisation,1,0.5
ppo,1,0.5
collaborative filtering,1,0.5
cognitive diagnosis,1,0.5
learning resource recommendation,1,0.5
blended teaching,1,0.5
computer vision technology,1,0.5
posture recognition,1,0.5
guzheng playing,1,0.5
intelligent teaching system,1,0.5
visual information,1,0.5
visualisation,1,0.5
wearable perception  soft computing algorithms  music information technology teaching  personalized recommendations,1,0.5
teacher,1,0.5
well-being,1,0.5
university,1,0.5
perma,1,0.5
finland,1,0.5
music classification,1,0.5
intelligent composition,1,0.5
mgtn model,1,0.5
markov model,1,0.5
ethnic music inheritance and innovation,1,0.5
solfege,1,0.5
earmaster,1,0.5
performance,1,0.5
attitude,1,0.5
learning analytics,1,0.5
piano sight-reading,1,0.5
music pedagogy artificial intelligence in education,1,0.5
pedagogical efficacy,1,0.5
technological integration,1,0.5
assessment methodologies,1,0.5
music teaching mode,1,0.5
dilated convolutional neural network,1,0.5
audio recognition,1,0.5
emotional development,1,0.5
choral education,1,0.5
national identity,1,0.5
folk music teaching,1,0.5
speech emotion recognition,1,0.5
tone analysis,1,0.5
gesture detection,1,0.5
teaching evaluation,1,0.5
big data,1,0.5
relevance,1,0.5
teaching mode,1,0.5
learning analysis,1,0.5
higher vocational colleges,1,0.5
normal class,1,0.5
curriculum system,1,0.5
construct,1,0.5
ant colony algorithm,1,0.5
cloud platform,1,0.5
- artificial intelligence,1,0.5
generative technologies,1,0.5
divergent thinking,1,0.5
leadership,1,0.5
chinese higher education,1,0.5
guanxi,1,0.5
leadership development,1,0.5
deep reinforcement learning  multimodal learner modelling  adaptive computing  human-centred ai,1,0.5
path recommendation,1,0.5
als-ednn-att,1,0.5
aplicacion informatica,1,0.5
evaluacion,1,0.5
instrumento de medida,1,0.5
juicio,1,0.5
juegos serios,1,0.5
educacion,1,0.5
ninos,1,0.5
diseno grafico,1,0.5
arquetipos,1,0.5
escenografias,1,0.5
artificial intelligence generative ai chatbots student learning higher education,1,0.5
early childhood instruction,1,0.5
music teaching strategies,1,0.5
practical pedagogy,1,0.5
teacher preparation programs,1,0.5
adhd,1,0.5
self-esteem,1,0.5
social skills,1,0.5
aesthetics a dance a enculturation a cross-cultural a full-body movement a non-verbal communication a expressivity a iran a europe a persia a dance a iranian dance a emotion,1,0.5
secondary education,1,0.5
environmental education,1,0.5
learning situations,1,0.5
project work,1,0.5
walking energetics,1,0.5
metabolic cost,1,0.5
mechanical work of locomotion,1,0.5
gait biomechanics,1,0.5
center of mass trajectory,1,0.5
dance-based rehabilitation,1,0.5
gait variability,1,0.5
locomotor efficiency,1,0.5
dance-based walking,1,0.5
inteligencia artificial,1,0.5
multimedia,1,0.5
investigacion educativa musical,1,0.5
academic publishing ethics,1,0.5
open access,1,0.5
author processing charges apcs,1,0.5
language equity,1,0.5
digital teaching platform,1,0.5
intercultural education,1,0.5
multimodal resources,1,0.5
cultural integration,1,0.5
background music,1,0.5
cognitive performance,1,0.5
cognitive load,1,0.5
activity demand,1,0.5
reading comprehension,1,0.5
agentic memory,1,0.5
evidence chain,1,0.5
memory-grounded reasoning,1,0.5
msu-bench,1,0.5
retrieval-augmented generation,1,0.5
generative artificial intelligence,1,0.5
musical creativity,1,0.5
artificial intelligence-assisted composition,1,0.5
artificial intelligence literacy,1,0.5
humanartificial intelligence collaboration,1,0.5
pedagogical techniques,1,0.5
educational policy,1,0.5
music source separation,1,0.5
u-net,1,0.5
spectrogram processing,1,0.5
short-time fourier transform stft,1,0.5
audio signal processing,1,0.5
convolutional neural networks,1,0.5
multi-task learning,1,0.5
bss eval,1,0.5
musdb18,1,0.5
human digital biomechanical twin,1,0.5
playing-related musculoskeletal disorders,1,0.5
human-centred ergonomic design,1,0.5
emotions,1,0.5
first year students,1,0.5
interactive educational environment,1,0.5
mobile learning,1,0.5
singing,1,0.5
wearables,1,0.5
emotional communication,1,0.5
ict training,1,0.5
ai-driven language learning artificial intelligence flipped classroom pedagogy innovative teaching strategies prisma framework,1,0.5
higher education ict music education prisma statement systematic literature review,1,0.5
cross-cultural teaching,1,0.5
instrumental learning,1,0.5
student motivation,1,0.5
deep motive,1,0.5
deep strategy,1,0.5
surface motive,1,0.5
surface strategy,1,0.5
art education  creativity  generative ai  higher education  instructional design  pedagogy,1,0.5
computational intelligence,1,0.5
personalised learning,1,0.5
decision-making models,1,0.5
contemporary learning,1,0.5
technologybased learning,1,0.5
global education challenges,1,0.5
transformer network,1,0.5
gan model,1,0.5
silk road,1,0.5
ethnic music,1,0.5
expectativa-valor,1,0.5
metas de logro,1,0.5
motivacion,1,0.5
viola,1,0.5
violin,1,0.5
realidad virtual,1,0.5
instruccion multimedial,1,0.5
carga cognitiva,1,0.5
automatic music transcription,1,0.5
hand pose analysis,1,0.5
graph neural networks,1,0.5
multimodal recognition,1,0.5
piano performance analysis,1,0.5
multimodal fusion,1,0.5
generative adversarial networks,1,0.5
fingering correction,1,0.5
performance expressiveness,1,0.5
audio-visual learning,1,0.5
music learning self-efficacy,1,0.5
deliberate music practice,1,0.5
achievement goal orientation,1,0.5
moderated mediation,1,0.5
grammar education,1,0.5
student behavior modeling,1,0.5
music-driven dance generation,1,0.5
seq2seq architecture,1,0.5
human pose recognition,1,0.5
cross-modal alignment,1,0.5
exercise enhancement,1,0.5
style transfer,1,0.5
nostalgia design,1,0.5
elderly,1,0.5
digital media,1,0.5
sustainable development goals,1,0.5
higher education integration,1,0.5
attention mechanism,1,0.5
eeg,1,0.5
eye tracking,1,0.5
transfer learning,1,0.5
ai audio processing,1,0.5
pitch analysis,1,0.5
rhythm precision,1,0.5
piano keyboard detection  deep learning  opencv  computer vision  music transcription,1,0.5
primary education,1,0.5
china,1,0.5
interdisciplinary research,1,0.5
traditional music education,1,0.5
cultural heritage and innovation,1,0.5
leak-gan,1,0.5
music automatic generation,1,0.5
pattern construction,1,0.5
potential advantages,1,0.5
digital learning and intercultural communication after identification,1,0.5
screening,1,0.5
and eligibility procedures,1,0.5
34 empirical studies were included for final analysis the findings have revealed three 3 major thematic patterns 1 online and informa,1,0.5
self-supervised learning,1,0.5
multimodal transformer,1,0.5
piano performance assessment,1,0.5
fine-grained error detection,1,0.5
cross-modal attention mechanism,1,0.5
midi-derived kinematic representations,1,0.5
capacity building  crisis mitigation  equity promotion  hybrid learning hl  sustainable development goals sdgs,1,0.5
digital competence,1,0.5
educational technologies,1,0.5
tpac,1,0.5
steam education concept,1,0.5
music major,1,0.5
personalized recommendation system,1,0.5
virtual reality,1,0.5
audio,1,0.5
user experience,1,0.5
user-centred design,1,0.5
auditory feedback,1,0.5
internship experience,1,0.5
employability,1,0.5
vocational students,1,0.5
student satisfaction,1,0.5
experiential learning,1,0.5
employer,1,0.5
internship program,1,0.5
educacion superior,1,0.5
educacion primaria,1,0.5
estudiantes universitarios,1,0.5
apps moviles,1,0.5
rendimiento academico,1,0.5
carga de trabajo,1,0.5
aprendizaje,1,0.5
musical heritage cultural identity digital technologies folklore curriculum,1,0.5
music teaching,1,0.5
teaching adaptability,1,0.5
understandability,1,0.5
optimization of vocal music teaching,1,0.5
neural collaborative filtering,1,0.5
deep q-network,1,0.5
generative adversarial network,1,0.5
steam concept,1,0.5
adaptive music teaching system,1,0.5
emotion recognition,1,0.5
intelligent education,1,0.5
transfer of training,1,0.5
training transfer,1,0.5
future research,1,0.5
network analysis,1,0.5
music education music technology perspective advantages and disadvantages secondary school teacher and student,1,0.5
critical pedagogy,1,0.5
decolonial education,1,0.5
educational equity,1,0.5
digital literacy,1,0.5
cultural politics,1,0.5
digital learning,1,0.5
innovation in education,1,0.5
nvivo,1,0.5
map chart softwares,1,0.5
rosas,1,0.5
situated learning,1,0.5
communities of practice,1,0.5
21st century education,1,0.5
piano education,1,0.5
learning efficacy,1,0.5
ethics,1,0.5
teacher role transformation posted date march 8th,1,0.5
2026,1,0.5
science education,1,0.5
teaching science,1,0.5
extended reality xr,1,0.5
virtual reality vr,1,0.5
augmented reality ar,1,0.5
blind,1,0.5
visually impaired vi,1,0.5
special education,1,0.5
inclusion,1,0.5
prisma,1,0.5
science mapping,1,0.5
citation networks,1,0.5
keyword co-occurrence,1,0.5
software integration,1,0.5
methodological challenges,1,0.5
bib,1,0.5
bite-sized learning,1,0.5
pedagogue,1,0.5
teaching and learning approach,1,0.5
21st century learning,1,0.5
slr,1,0.5
spatial reasoning,1,0.5
intervention,1,0.5
educational communication,1,0.5
edutok,1,0.5
south america,1,0.5
tiktok,1,0.5
21st-century skills,1,0.5
ai-assisted learning,1,0.5
cultural literacy,1,0.5
reflective teaching,1,0.5
vocal pedagogy,1,0.5
professional training,1,0.5
teacher learning,1,0.5
teachers,1,0.5
vocational training,1,0.5
adolescents,1,0.5
emotion regulation,1,0.5
music interventions,1,0.5
psychology,1,0.5
co-design,1,0.5
educational neuroscience,1,0.5
knowledge translation,1,0.5
neuroscience-informed teaching,1,0.5
researcher-educator collaboration,1,0.5
school-based implementation,1,0.5
trans,1,0.5
ai adoption,1,0.5
cognitive appraisal,1,0.5
humanai collaboration,1,0.5
professional identity,1,0.5
professional judgment,1,0.5
psychological mechanisms,1,0.5
collaborative learning,1,0.5
emotional regulation,1,0.5
flipped music education,1,0.5
learning engagement,1,0.5
self-directed learning,1,0.5
student wellbeing,1,0.5
as well as the development process and development trends the results showed that the research field of the breaking competition system is developing vigorously the findings are as follows 1 the united states leads the world by a large margin,1,0.5
learning evaluation,1,0.5
sustainable development goals sdgs,1,0.5
platform metaverse pendidikan analisis bibliometrik manajerial,1,0.5
the authors analyzed 262 documents that had been selected by the prisma method,1,0.5
with the next step being bibliometric analysis with the r program and vosviewer from the analysis,1,0.5
research on technological innovation in mathematics learning started,1,0.5
ai pedagogy,1,0.5
dual systematic review,1,0.5
artificial intelligence  early childhood education  educational technology  improving classroom teaching  teachinglearning strategies,1,0.5
artificial intelligence in education aied  text mining  topic modeling  latent dirichlet allocation  aied,1,0.5
metaverse in education  immersive learning environments  emerging technologies,1,0.5
microlearning  b  slr  mobile learning  digital education  global trends  flexible learning  quality education,1,0.5
out-of-field teaching  cross-curricular work  teacher training  postqualification,1,0.5
collaborative online international learning,1,0.5
mapping studies,1,0.5
open-source software  usability techniques  e-learning  educational institutions  systematic research  user testing,1,0.5
electroencephalography,1,0.5
second language acquisition,1,0.5
event-related potentials,1,0.5
neuroscience of bilingualism,1,0.5
research trends,1,0.5
scientific collaboration,1,0.5
ai readiness,1,0.5
programming education,1,0.5
programming languages,1,0.5
precision medicine,1,0.5
personalized medicine,1,0.5
clinical decision support systems,1,0.5
technology-enhanced learning,1,0.5
music theory education,1,0.5
student learning needs,1,0.5
personalized instruction,1,0.5
technology-enhanced studio design creative musicianship performance self-efficacy teacher autonomy support mastery goal orientation,1,0.5
music language models music generation automatic composition music education technology difficulty playability complexity,1,0.5
attentional focus asynchronous music high-intensity exercise affect prefrontal oxygenation,1,0.5
gesture-controlled musical interface intrinsic hybrid nanogenerator piezoelectric triboelectric bcst,1,0.5
deep reinforcement learning dance choreography generation soft actor-critic transformer network motion synthesis,1,0.5
generative ai music learning ai literacy performance quality domain-specific skills,1,0.5
music education models cultural identity traditional music acceptance mediation effect moderation effect measurement invariance cross-sectional design,1,0.5
ai-based music teaching tools learning feedback systems music education technology music performance analysis personalized feedback,1,0.5
