id,anio,autor_principal,pais,titulo,tipo,relacion,categoria_tecnologica,categoria_dominio,tecnologia,dominio,doi
018,2025,He,Malasia,"Harmonizing Tradition, Algorithm, and Innovation: A Bibliometric Study on AI in Traditional Music",BIB,B,Otro / sin tecnologia,Musica tradicional / patrimonio / etnomusicologia,IA,música tradicional,10.47405/mjssh.v10i6.3437
019,2025,Sahlan,Indonesia,"Student Self-Assessment in Islamic Religious Education: A Scopus-Based Bibliometric Review of Trends, Themes, and Research Gaps",BIB,D,Metodo bibliometrico,Educacion general / superior (no musical),método bibliométrico,educación religiosa islámica,10.33086/ehdj.v10i3.8390
020,2026,MohdNong,Malasia,Enhancing Digital Skills Towards Career Readiness: A Recent Systematic Review,RS,C,Apps moviles / plataformas / TIC,Otro,competencias digitales,empleabilidad / educación,10.37934/araset.60.1.4159
021,2025,Du,China,Breaking the sound barrier: Spectrum–based pedagogies in modern vocal music education,RS,B,Audio / MIR / procesamiento de senal,Canto / educacion vocal / coral,análisis espectral / redes neuronales,canto / educación vocal,10.21831/cp.v44i3.84011
022,2024,Lin,China,International Journal of Advanced Research in Future Ready Learning and,RS,B,Realidad virtual / aumentada / XR,Educacion musical (general / superior / secundaria),metaverso / RV / RA / IA,educación musical,10.37934/frle.37.1.4158
023,2026,Dimitriadou,Grecia,"STAVROULA DIMITRIADOU1, STAVROS ATHANASSOPOULOS2, VASSILIS KOMIS3, STAMATIOS PAPADAKIS4, KONSTANTINOS LAVIDAS3",RS,C,IA generativa / LLM,Educacion general / superior (no musical),IA generativa,educación superior,
024,2025,Suripah,Indonesia,"13. Sinta 2_Zet Suripah,_JRPM Mei 2025",BIB,D,Metodo bibliometrico,Educacion general / superior (no musical),método bibliométrico,educación matemática,
025,2026,Deroncele-Acosta,Peru,Ȁ,RS,C,Realidad virtual / aumentada / XR,Educacion general / superior (no musical),RA / RV / museos inteligentes / IA,educación museística,10.62161/revvisual.v18.6245
026,2021,AbdulWahab,Malasia,The Big Why of Implementing Computational Thinking in STEM Education: A Systematic Lit,RS,C,Otro / sin tecnologia,Educacion general / superior (no musical),pensamiento computacional,educación STEM,10.47405/mjssh.v6i3.706
027,2025,Imanulyaqin,Indonesia,Trends and Knowledge Structure in Global Studies of Education and Social Transformation: A Bibliometric Analysis (2000–2024),BIB,D,Metodo bibliometrico,Educacion general / superior (no musical),VOSviewer,educación y transformación social,
028,2024,Feng,Malasia,A bibliometric analysis of review on folk art,BIB,D,Metodo bibliometrico,Musica tradicional / patrimonio / etnomusicologia,método bibliométrico,arte popular / patrimonio,10.1080/23311983.2024.2426363
029,2026,Iqbal,Pakistan,A Comprehensive Review of Audio Segmentation and Classification from RuleBased Methods to YOHO and Deep Learning Approaches,RS,C,Deep learning (CNN/RNN/Transformer),Otro,"deep learning de audio (YOHO, YAMNet)",segmentación y clasificación de audio,10.1007/s11831-026-10584-w
030,2026,Meyer,Suiza,A document is worth a structured record Principled inductive bias design for document recognition,TEC,D,Vision por computador / pose / gesto,Otro,visión por computador / reconocimiento estructurado,reconocimiento de documentos,10.1007/s10032-026-00602-9
031,2026,Tsai,Taiwan,A lightweight realtime karaoke system with improved singing voice separation via fundamental frequency estimation integration,TEC,C,Audio / MIR / procesamiento de senal,Canto / educacion vocal / coral,separación de fuentes / DL (MMDenseNet),canto / karaoke,10.1007/s11042-026-21404-5
032,2026,Li,China,A reinforcement learningbased adaptive evaluation framework for personalized music education,TEC,A,Aprendizaje por refuerzo (RL/DRL),Educacion musical (general / superior / secundaria),aprendizaje por refuerzo,educación musical (evaluación),10.7717/peerj-cs.3464
033,2026,Liang,China,A spiking neural network inspired by neuroscience and psychology for Western mode and keyconditioned music learning and composition,TEC,C,Deep learning (CNN/RNN/Transformer),Educacion musical (general / superior / secundaria),red neuronal de spikes / STDP,teoría musical (modo y tonalidad),10.1038/s41598-026-43529-1
035,2026,Yang,China,A study on the comprehensive development of vocal education under the dual role of voice training and mental quality cultivation,TEC,B,Audio / MIR / procesamiento de senal,Canto / educacion vocal / coral,AMDF / DTW / suavizado,educación vocal,10.70917/ijcisim-2026-1821
036,2026,Zhou,Corea del Sur,A transformerbased intelligent online virtual conductor assistance system for choirs,TEC,B,IA generativa / LLM,Canto / educacion vocal / coral,Transformer (Conformer) / GAN,dirección coral (generación de gesto),10.1007/s44163-026-01289-x
037,2026,Cherdchoo,Tailandia,ADAPTIVE LEARNING SYSTEM FOR THAI MUSIC EDUCATION USING AI AND AUGMENTED REALITY,TEC,A,Aprendizaje por refuerzo (RL/DRL),Musica tradicional / patrimonio / etnomusicologia,IA + RA + aprendizaje por refuerzo,música tradicional tailandesa,10.24507/icicelb.17.09.881
038,2026,Deng,China,AIBased Feedback Systems in Piano Education Effects on Technical Accuracy and Learner Autonomy,EMP,A,Vision por computador / pose / gesto,Piano / teclado,"IA feedback (Onsets&Frames, MediaPipe)",piano,10.5216/mh.v26.85176
040,2025,Lu,China,AIpowered intelligent music education systems for realtime feedback and performance assessment,TEC,B,Deep learning (CNN/RNN/Transformer),Educacion musical (general / superior / secundaria),deep learning / procesamiento de audio,educación musical (evaluación),10.1504/IJICT.2025.10071414
041,2026,Shehzad,Emiratos,"Naureen Shehzad Higher Colleges of Technology, UAE",RS,C,Multimodal / afectivo,Musica y bienestar / cognicion / salud,"IA (chatbots, wearables, reconoc. de emoción)",bienestar en educación superior,10.4018/979-8-3373-4222-1.ch005
042,2023,PalominoFlores,Peru,"Javier Valentino Palomino FloresA, Giuliana del Pilar Saravia RamosB, Irma Milagros Carhuancho MendozaC, Lady Barbara Layme CalatayudD,",BIB,C,Metodo bibliometrico,Otro,método bibliométrico,engagement académico,10.26668/businessreview/2023.v8i10.3789
043,2025,Yao,China,An Innovative Study on the Interaction Mode of Artificial IntelligenceEnabled Music Classroom,TEC,B,Deep learning (CNN/RNN/Transformer),Educacion musical (general / superior / secundaria),Transformer-XL (generación musical),educación musical (aula),10.70917/ijcisim-2025-0268
044,2026,Deng,China,An adaptive emotion aware music education system using machine learning for personalized emotional wellbeing enhancement,TEC,A,Deep learning (CNN/RNN/Transformer),Educacion musical (general / superior / secundaria),ML / emoción multimodal (CNN-LSTM),educación musical (bienestar emocional),10.1038/s41598-026-53749-0
046,2026,Shi,China,An affective computing framework for preschool music education using MoE architecture and neural radiance fields,TEC,A,Multimodal / afectivo,Educacion musical infantil / preescolar,MoE / campos de radiancia neuronal / affective computing,música preescolar,10.1007/s44163-026-01858-0
048,2026,Hu,China,Analysis of an intelligent piano music transcription model by deep reinforcement learning,TEC,B,Aprendizaje por refuerzo (RL/DRL),Piano / teclado,deep RL / Transformer,piano (transcripción),10.1504/IJICT.2026.10075844
049,2026,Yang,China,Application and Effect Evaluation of Blended Teaching Model of Higher Vocational Music Education in the Context of AI Era,EMP,B,Sistemas de recomendacion / rutas / ITS,Educacion musical (general / superior / secundaria),filtrado colaborativo / diagnóstico cognitivo,educación musical vocacional,10.70917/ijcisim-2026-1789
050,2026,Lu,China,Application of Computer Vision Technology in the Recognition of Guzheng Playing Posture,TEC,A,Vision por computador / pose / gesto,Instrumento de cuerda / arco,visión por computador / CNN (ResNet50),guzheng (postura y gesto de ejecución),10.22630/MGV.2026.35.1.4
051,2026,Behzadaval,Luxemburgo,Application of Visual Information in Music Education Digital Technologies A Scoping Review,SCOP,B,Otro / sin tecnologia,Educacion musical (general / superior / secundaria),tecnologías visuales digitales,educación musical,10.3390/educsci16020309
052,2026,Dai,China,Application of wearable perception and soft computing algorithms in personalized recommendation of music online teaching,TEC,B,Wearables / sensores,Educacion musical (general / superior / secundaria),wearables / soft computing,educación musical online,10.1007/s13198-026-03257-1
053,2022,Olaleye,Finlandia,"This is an electronic reprint of the original article. This version may differ from the original in pagination and typographic detail. Author(s): Olaleye, Sunday Adewale; Olaleye, Esther Olubunmi",BIB,D,Metodo bibliometrico,Musica y bienestar / cognicion / salud,método bibliométrico,bienestar de estudiantes y docentes,10.21125/iceri.2022
054,2025,Wang,China,Artificial IntelligenceDriven Innovative Research and Educational Practice of Chinese Minority Music Inheritance Model,TEC,B,Otro / sin tecnologia,Musica tradicional / patrimonio / etnomusicologia,MGTN / cadena de Markov (clasificación + composición),música de minorías étnicas chinas,10.70917/ijcisim-2025-0311
055,2026,AtayKarlidag,Turquia,Artificial IntelligenceSupported Solfge Instruction in Higher Music Education Effects on Student Performance and Learning Attitudes,EMP,B,Sistemas de recomendacion / rutas / ITS,Canto / educacion vocal / coral,sistema de tutoría inteligente (EarMaster),solfeo,10.3390/app16115383
056,2026,Rui,Malasia,Artificial intelligence and digital technologies for piano sightreading skill development a scoping review,SCOP,A,Otro / sin tecnologia,Piano / teclado,IA / tecnologías digitales,piano (lectura a primera vista),10.55670/fpll.futech.5.1.27
057,2026,Mazlan,Malasia,Artificial intelligence applications and pedagogical challenges in music education,RS,B,Deep learning (CNN/RNN/Transformer),Educacion musical (general / superior / secundaria),deep learning / transformers / generativos,educación musical instrumental,10.1007/s44217-026-01127-3
059,2026,Liu,China,Artificial intelligence technology for music teaching reform mode under DCNN algorithm,EMP,B,Deep learning (CNN/RNN/Transformer),Educacion musical (general / superior / secundaria),DCNN + mecanismo de atención (reconoc. de audio),educación musical,10.1038/s41598-026-45027-w
061,2026,Dong,Estados Unidos,Augmenting Human Creativity with Machine Learning,CONF,C,IA generativa / LLM,Otro,IA generativa (human-centered),"creación de música, audio y vídeo",
062,2025,Wu,Canada,Joint CSCE Construction Specialty & CRC Conference 2025 Conférence conjointe spécialisée en construction de la SCGC et CRC-2025,RS,D,IA generativa / LLM,Educacion general / superior (no musical),realidad extendida / IA generativa de contenido,formación en construcción,
063,2025,Kelmendi,Kosovo,Childrens Choral Songs as a SocioCultural Tool in Shaping Collective Consciousness,EMP,C,Otro / sin tecnologia,Educacion musical infantil / preescolar,—,canto coral infantil,10.5216/mh.v25.82418
065,2026,Zhang,China,Comprehensive evaluation of folk music teaching effects based on multimodal machine learning,TEC,A,Vision por computador / pose / gesto,Musica tradicional / patrimonio / etnomusicologia,"ML multimodal (voz + música + gesto, MFCC/CNN)",música folclórica (evaluación),10.1007/s44163-026-00923-y
068,2026,Wang,China,Construction and Empirical Study of Music Education Model Based Upon Big Data and Relevance Theory,EMP,B,Sistemas de recomendacion / rutas / ITS,Educacion musical (general / superior / secundaria),"big data (K-means, regresión, Apriori)",educación musical,10.4018/IJWLTT.409032
069,2026,Yao,China,Construction and Practice of the Music Curriculum System in Artificial Intelligence Scenes for Normal Majors in Higher Vocational Colleges,EMP,B,Otro / sin tecnologia,Educacion musical (general / superior / secundaria),inteligencia artificial,currículo de educación musical vocacional,10.4018/JCIT.410613
070,2025,Luo,China,Construction of a personalized learning path for vocal music teaching through cloud platform in college music courses,TEC,B,Sistemas de recomendacion / rutas / ITS,Canto / educacion vocal / coral,algoritmo de colonia de hormigas,canto (rutas de aprendizaje),10.70917/ijcisim-2025-0234
071,2022,UmanJuarez,Peru,"Steve Jason Umán Juarez2 ; Carmen Rosa Hurtado Laura de Mera3 ; Giovanna Irayda Alcántara Cuba de Byrne4 ; Luis Alberto Byrne Jaramillo5 , Kenji Alberto Chung Sanchez1",SCOP,C,IA generativa / LLM,Otro,IA generativa,creatividad universitaria,10.18687/LEIRD2025.1.1.331
072,2026,Usero,España,Convolutional Neural Networks and Computer Vision,EDIT,C,Vision por computador / pose / gesto,Otro,CNN / visión por computador,visión por computador,10.3390/app16147271
073,2025,AlmeidaMonge,Ecuador,Divergent thinking in higher education (2004-2024): systematic literature review and global bibliometric analysis,BIB,C,Metodo bibliometrico,Educacion general / superior (no musical),ScientoPy / VOSviewer / Biblioshiny,pensamiento divergente en educación superior,
074,2025,Zhou,Malasia,"To cite this article: Shulin Zhou, Aida Hanim Binti Hamid & Bity Salwana Binti Alias (2025) Decoding leadership in Chinese h",RS,D,Otro / sin tecnologia,Educacion general / superior (no musical),—,liderazgo en educación superior china,10.1080/2331186X.2025.2590832
075,2026,Li,China,Deep Reinforcement Learning for Personalised Music Learning Pathways,TEC,A,Aprendizaje por refuerzo (RL/DRL),Educacion musical (general / superior / secundaria),"deep reinforcement learning (MDP, curriculum-aware)",educación musical (rutas de aprendizaje),10.1007/s40745-026-00689-1
077,2026,Li,China,Deep learningbased personalized learning path planning and optimization model for music education,TEC,A,Deep learning (CNN/RNN/Transformer),Educacion musical (general / superior / secundaria),red neuronal profunda + atención (ALS-EDNN-ATT),educación musical (rutas de aprendizaje),10.1007/s44163-026-01115-4
079,2026,Li,China,Deep learningdriven automatic music score recognition and digital transcription algorithm,TEC,B,Deep learning (CNN/RNN/Transformer),Generacion / transcripcion / MIR de musica,Transformer + CNN (OMR),transcripción de partituras,10.1007/s43926-026-00332-8
081,2024,Leon-Garrido,España,Design and validation of an evaluation instrument for mobile music apps through expert judgment,EMP,B,Apps moviles / plataformas / TIC,Otro,apps móviles musicales,evaluación de apps musicales,10.17811/rifie.20620
082,2025,Solorzano,Ecuador,Design strategies in creating characters for educational childrens video games The MIDIMusical Case,EMP,A,Gamificacion / juegos serios,Educacion musical infantil / preescolar,videojuegos educativos,educación musical infantil,10.5565/rev/grafica.374
083,2026,Arkhrust,Ghana,Digital technology adoption and perceived barriers in music composition education among preservice music teachers in Ghanaian Colleges of Education,EMP,B,Apps moviles / plataformas / TIC,Generacion / transcripcion / MIR de musica,tecnología digital de composición,composición musical (formación docente),10.1007/s44217-026-02013-8
084,2026,Badger,Dinamarca,The Impact of GenAI Chatbots on Student Learning in Higher Education: A Literature Review,RS,C,IA generativa / LLM,Educacion general / superior (no musical),IA generativa (chatbots),educación superior,10.46328/ijte.5111
085,2025,Nguyen,Vietnam,Applying Augmented Reality Technology in STEM Education: A Bibliometrics Analysis in Scopus Database,BIB,C,Realidad virtual / aumentada / XR,Educacion general / superior (no musical),realidad aumentada,educación STEM,10.12973/eu-jer.14.1.73
086,2026,Lyu,Tailandia,Educational review of preschool teacher music curriculum at Southwest University,EMP,C,Otro / sin tecnologia,Educacion musical infantil / preescolar,—,currículo de música (formación docente preescolar),10.31893/multirev.2026080
087,2025,DelPinoQuispe,Peru,Effects of music on the treatment of attention deficit and hyperactivity disorder (ADHD) in children and adolescents: a systematic rev,RS,C,Otro / sin tecnologia,Musica y bienestar / cognicion / salud,—,musicoterapia en TDAH,10.51798/sijis.v6i3.1058
088,2026,Zhang,China,Embodied music training can help improve speech imitation and pronunciation skills,EMP,B,Otro / sin tecnologia,Otro,entrenamiento musical corporeizado (Dalcroze),transferencia música-lenguaje,10.1017/S0261444824000363
089,2026,Christensen,Alemania,Enculturation modulates aesthetic judgments of dance,EMP,D,Otro / sin tecnologia,Generacion / transcripcion / MIR de musica,—,percepción estética de la danza,10.1007/s41809-026-00206-z
090,2024,Botella,España,Endangered soundscapes a music learning situation for secondary education,EMP,C,Audio / MIR / procesamiento de senal,Educacion musical (general / superior / secundaria),software de audio (Audacity),educación musical (paisaje sonoro),10.35699/2317-6377.2024.48283
091,2026,Torres,Uruguay,Energetics kinematics and physiologic aspects of tango walking in the leader role,EMP,D,Vision por computador / pose / gesto,Otro,captura de movimiento / biomecánica,biomecánica del tango,10.7717/peerj.21581
092,2026,DelBarrio,España,Epigenesis of music education in the age of Artificial Intelligence,RS,B,Otro / sin tecnologia,Educacion musical (general / superior / secundaria),"IA (autónomo, asistido, generativo, evaluativo)",educación musical,10.5216/mh.v26.85467
095,2025,Arostegui,España,"This article explores the ethical challenges faced by the Revista Internacional de Educación Musical (RIEM), a Spanis",CONC,D,Otro / sin tecnologia,Educacion musical (general / superior / secundaria),—,publicación académica en educación musical,10.22176/act24.4.90
096,2026,Zhang,China,Exploring the Role of Digital Traditional Music Platforms in CrossCultural Music Pedagogy,EMP,B,Multimodal / afectivo,Musica tradicional / patrimonio / etnomusicologia,plataforma digital multimodal / IA,música tradicional intercultural,10.4018/IJICTE.407363
097,2026,Fragkou,Finlandia,The originality of this thesis has been checked in accordance with the University of Turku quality assurance system using the Turnitin OriginalityCheck service.,SCOP,C,Otro / sin tecnologia,Musica y bienestar / cognicion / salud,—,música y desempeño cognitivo,
098,2026,Mao,China,From Retrieval to Faithful Memory Use ContextGrounded Evidence Chains for Music Education Agents,TEC,B,IA generativa / LLM,Educacion musical (general / superior / secundaria),agente LLM / memoria / cadenas de evidencia,agentes de educación musical,10.3390/info17080783
100,2021,Uskov,Estados Unidos,Vladimir L. Uskov Robert J. Howlett Lakhmi C. Jain Editors,CONF,C,Gamificacion / juegos serios,Educacion musical infantil / preescolar,gamificación,e-learning,10.1007/978-981-16-2834-4
101,2026,Tang,Japon,Generative artificial intelligence in music education and creativity A review of current developments and future directions,RS,B,IA generativa / LLM,Educacion musical (general / superior / secundaria),IA generativa,educación musical y creatividad,10.6977/IJoSI.202608_10(4).0001
102,2025,AlvarezAriza,Colombia,Generative AI in Engineering and Computing Education: A Scoping Review of Empirical Studies and Educational Practices,SCOP,C,IA generativa / LLM,Educacion general / superior (no musical),IA generativa,educación en ingeniería y computación,10.1109/ACCESS.2025.3541424
103,2025,Masoud,Libia,Global Trends and Challenges in Teacher Training: A Bibliometric Analysis (2019–2024),BIB,D,Metodo bibliometrico,Educacion general / superior (no musical),R / VOSviewer,formación docente,10.69526/bir.v3i4.356
104,2026,Kostrzewa,Polonia,How Far Can a UNet Go An Empirical Analysis of Music Source Separation Performance,TEC,C,Deep learning (CNN/RNN/Transformer),Generacion / transcripcion / MIR de musica,U-Net (separación de fuentes),separación de fuentes musicales,10.3390/app16052195
105,2026,Califano,Italia,Human Digital Biomechanical TwinDriven Ergonomic Optimization of BassGuitar Support Systems Predictive Design and Experimental Validation,EMP,B,Vision por computador / pose / gesto,Instrumento de cuerda / arco,gemelo digital biomecánico / MediaPipe Pose / captura de movimiento,ergonomía del bajo eléctrico,10.3390/app16115224
106,2026,Zhang,China,ICT training with wearable devices to enhance emotional communication and musicality in vocal education,EMP,B,Wearables / sensores,Canto / educacion vocal / coral,wearables / app móvil (SingTrue),educación vocal,10.1038/s41598-026-46822-1
107,2025,AhmadRadzuan,Malasia,Integrating Artificial Intelligence into Language Teaching Approaches: A Systematic Review of Flipped Classrooms,RS,C,IA generativa / LLM,Educacion general / superior (no musical),"IA (ChatGPT, IA conversacional)",enseñanza de idiomas (aula invertida),10.15282/ijleal.v15i2.11943
108,2026,Wang,China,Influence of Specific Acoustic Parameters on Responses in Growing Pigs Towards a Precision Auditory Enrichment Strategy,EMP,D,Otro / sin tecnologia,Musica y bienestar / cognicion / salud,—,bienestar animal (música para cerdos),10.3390/ani16101475
109,2026,Wang,Malasia,Information and communication technology in higher music education systematic review,RS,B,Apps moviles / plataformas / TIC,Educacion musical (general / superior / secundaria),TIC,educación musical superior,10.11591/ijere.v15i4.38319
110,2026,Liu,Corea del Sur,Innovation of crosscultural music teaching methods based on artificial intelligence,TEC,B,Deep learning (CNN/RNN/Transformer),Musica tradicional / patrimonio / etnomusicologia,híbrido RNN-Transformer / multimodal,música intercultural,10.1007/s44163-026-00975-0
112,2026,Koca,Turquia,Instrumental Learning Approaches in PreProfessional Music Students Associations Among Motivation Strategy and Practice,EMP,C,Otro / sin tecnologia,Educacion musical (general / superior / secundaria),—,aprendizaje instrumental (motivación),10.3390/jintelligence14070146
113,2026,Fang,China,Integrating Generative AI in Higher Art Education A Systematic Review of Tools Pedagogies and Practices,RS,C,IA generativa / LLM,Educacion general / superior (no musical),"IA generativa (ChatGPT, Midjourney, DALL-E)",educación artística superior (incl. música),10.1007/s42979-026-04788-x
114,2025,Peng,China,Integrating computational intelligence in music teaching a decisionmaking approach for personalised education,TEC,B,Sistemas de recomendacion / rutas / ITS,Educacion musical (general / superior / secundaria),IA / ML / analítica de datos,educación musical personalizada,10.1504/IJICT.2025.10072178
115,2025,Rabbaniah,Indonesia,Bibliometric Analysis of The Development Map and Direction of Contemporary Learning Research in The Scopus Database 1976-2024,BIB,D,Metodo bibliometrico,Otro,R / VOSviewer,investigación sobre aprendizaje contemporáneo,10.23917/mier.v3i1.7319
116,2026,Gardiner,Austria,Making Origami Digital Musical Instruments,TEC,B,Vision por computador / pose / gesto,Otro,sensado de pliegues / gestos (origami),instrumentos musicales digitales,10.55776/AR590
117,2026,Zhao,China,Modeling Multicultural Interaction in Silk Road Ethnomusicology Education Based on Deep Learning Framework,TEC,B,IA generativa / LLM,Musica tradicional / patrimonio / etnomusicologia,Trans-GAN (generación de música étnica),etnomusicología (Ruta de la Seda),10.70917/ijcisim-2026-0381
118,2026,LopezCalatayud,España,Motivation in viola and violin learning with instrumental intonation support software,EMP,A,Apps moviles / plataformas / TIC,Instrumento de cuerda / arco,software de entrenamiento de entonación en tiempo real (Plectrus),viola y violín,10.5216/mh.v.26.82835
121,2026,Iglesias,Colombia,Motivational Effects of Virtual Reality in Music Education A QuasiExperimental Study,EMP,B,Realidad virtual / aumentada / XR,Educacion musical (general / superior / secundaria),realidad virtual,educación musical escolar,10.17227/rce.num100-21167
123,2026,Yamada,Japon,Multimodal Automatic Music Transcription Using Piano Audio and HandSkeleton Information,TEC,A,Vision por computador / pose / gesto,Piano / teclado,transcripción multimodal audio + esqueleto de mano (HandSkeletonNet),piano,10.3390/electronics15102005
124,2026,Li,China,Multimodal generative adversarial networks for piano fingering correction and performance expressiveness modeling through audiovisual feature fusion,TEC,A,IA generativa / LLM,Piano / teclado,GAN multimodal audio-visual / atención,piano (digitación y expresividad),10.1038/s41598-026-44473-w
126,2026,Suwansomboon,Tailandia,Music Learning Among Digital Native Learners in Thai Higher Education,EMP,B,Apps moviles / plataformas / TIC,Educacion musical (general / superior / secundaria),herramientas digitales,educación musical superior,10.59796/rmj.V21N2.2026.R0913
127,2026,Wang,China,Music Learning SelfEfficacy and Deliberate Music Practice The Mediating Role of Achievement Goal Orientation and the Moderating Role of AI Literacy,EMP,B,Otro / sin tecnologia,Educacion musical (general / superior / secundaria),alfabetización en IA (moderador),práctica musical deliberada,10.3390/bs16081456
128,2026,Ma,China,Music and body motion contribute asymmetrically to emotion perception in traditional Chinese pluckedinstrument performance,EMP,C,Vision por computador / pose / gesto,Musica y bienestar / cognicion / salud,captura de movimiento / dataset EMOSIC,percepción emocional multimodal,10.1038/s41598-026-50223-9
129,2026,Wang,China,Music teaching evaluation using multimodal deep reinforcement learning,TEC,A,Aprendizaje por refuerzo (RL/DRL),Educacion musical (general / superior / secundaria),deep RL + RAG + blockchain,educación musical (evaluación),10.1007/s44163-026-00832-0
131,2026,He,China,MusicDriven Enhanced Dance Performance Generation by Integrating Seq2Seq and Human Pose Recognition,TEC,B,Vision por computador / pose / gesto,Generacion / transcripcion / MIR de musica,Seq2Seq + reconocimiento de pose humana,generación de danza a partir de música,10.28991/HIJ-2026-07-02-011
132,2026,Sonbua,Tailandia,NostalgiaDriven Gamification as a Digital Media Strategy for Enhancing Exercise Engagement among Older Adults in an Aging Society,EMP,C,Vision por computador / pose / gesto,Musica y bienestar / cognicion / salud,gamificación / captura de movimiento (RealSense) / música,ejercicio en adultos mayores,10.11114/smc.v14i3.8384
133,2026,CasesBerbel,España,Nursery Rhymes in Translation Functional Equivalence beyond Semantics,CONC,B,Otro / sin tecnologia,Educacion musical infantil / preescolar,—,canciones infantiles con gestos de dedos y manos,10.23817/lingtreff.29-3
134,2025,Obi,Sudafrica,"This scoping review investigates the role of Artificial Intelligence (AI) in higher education institutions in subSaharan Africa, emphasizing the strategic objectives, advantages, obstacles, and ethical implications of",SCOP,C,Otro / sin tecnologia,Educacion general / superior (no musical),IA,educación superior (África subsahariana),
136,2026,Liu,China,Optimization of attention mechanisms in choral conducting education using EEG and eye movement tracking with transfer learning algorithms,TEC,B,Wearables / sensores,Canto / educacion vocal / coral,EEG + seguimiento ocular + transfer learning,dirección coral (gesto),10.1038/s41598-026-54211-x
